ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
498,Student_498,1.7,77,48.4,F,Fail,47.839999999999996
503,Student_503,3.8,69,49.1,F,Fail,50.86000000000001
506,Student_506,2.5,55,45.0,F,Fail,43.0
518,Student_518,8.3,62,49.7,F,Fail,58.82
519,Student_519,9.9,74,40.8,F,Fail,59.08
524,Student_524,8.6,85,44.8,F,Fail,61.08
542,Student_542,6.5,100,46.0,F,Fail,60.599999999999994
544,Student_544,7.0,78,48.5,F,Fail,58.7
555,Student_555,8.9,86,47.6,F,Fail,63.56
559,Student_559,7.8,69,44.2,F,Fail,55.92
570,Student_570,4.1,64,42.0,F,Fail,46.2
582,Student_582,9.8,89,46.7,F,Fail,65.42
589,Student_589,2.2,85,46.6,F,Fail,49.36
591,Student_591,2.2,79,42.5,F,Fail,45.699999999999996
600,Student_600,1.4,87,41.1,F,Fail,44.86
607,Student_607,2.9,69,46.8,F,Fail,47.67999999999999
610,Student_610,7.2,55,45.8,F,Fail,52.879999999999995
626,Student_626,4.3,60,44.7,F,Fail,47.42
629,Student_629,1.3,63,42.1,F,Fail,40.46
634,Student_634,5.8,61,43.8,F,Fail,50.08
637,Student_637,5.8,50,46.9,F,Fail,49.74
638,Student_638,3.2,54,45.6,F,Fail,44.559999999999995
658,Student_658,4.3,55,46.3,F,Fail,47.38
667,Student_667,3.2,75,44.3,F,Fail,47.98
671,Student_671,2.6,55,42.7,F,Fail,41.82000000000001
672,Student_672,9.1,86,48.4,F,Fail,64.44
682,Student_682,3.3,73,40.3,F,Fail,45.38
683,Student_683,2.5,92,40.5,F,Fail,47.7
685,Student_685,9.4,74,42.2,F,Fail,58.92
686,Student_686,6.0,99,46.5,F,Fail,59.7
694,Student_694,3.2,93,45.2,F,Fail,52.12
696,Student_696,6.5,69,46.8,F,Fail,54.879999999999995
703,Student_703,4.0,99,47.9,F,Fail,56.54
715,Student_715,4.1,50,40.1,F,Fail,42.260000000000005
717,Student_717,8.5,92,43.1,F,Fail,61.260000000000005
719,Student_719,2.1,79,43.6,F,Fail,46.160000000000004
722,Student_722,2.6,66,46.9,F,Fail,46.54
726,Student_726,8.6,89,47.3,F,Fail,63.379999999999995
730,Student_730,2.5,57,44.8,F,Fail,43.28
737,Student_737,4.5,80,40.6,F,Fail,49.36
743,Student_743,7.7,75,47.2,F,Fail,58.72
745,Student_745,3.1,51,44.0,F,Fail,42.800000000000004
747,Student_747,4.5,55,48.5,F,Fail,49.099999999999994
748,Student_748,5.9,58,40.7,F,Fail,47.82000000000001
753,Student_753,6.6,62,42.6,F,Fail,51.16
754,Student_754,4.0,58,47.4,F,Fail,48.04
781,Student_781,7.2,50,48.6,F,Fail,53.559999999999995
784,Student_784,4.1,64,49.3,F,Fail,50.58
785,Student_785,2.6,70,41.5,F,Fail,44.1
789,Student_789,5.2,82,44.3,F,Fail,53.38
799,Student_799,7.3,57,48.4,F,Fail,55.04
801,Student_801,7.4,63,41.7,F,Fail,52.42
805,Student_805,4.8,58,42.3,F,Fail,46.580000000000005
806,Student_806,7.6,52,41.9,F,Fail,50.739999999999995
808,Student_808,9.3,75,49.6,F,Fail,63.36
809,Student_809,5.1,57,41.4,F,Fail,46.44
814,Student_814,9.3,78,47.0,F,Fail,62.4
827,Student_827,4.1,97,49.2,F,Fail,57.120000000000005
836,Student_836,4.8,72,43.5,F,Fail,50.1
843,Student_843,2.6,60,48.4,F,Fail,46.24
855,Student_855,2.8,95,42.4,F,Fail,50.04
864,Student_864,5.0,85,47.8,F,Fail,55.67999999999999
866,Student_866,6.0,67,47.5,F,Fail,53.9
871,Student_871,4.4,75,48.9,F,Fail,53.14
893,Student_893,8.5,91,46.6,F,Fail,63.16
898,Student_898,9.1,71,43.7,F,Fail,58.620000000000005
904,Student_904,6.2,59,41.1,F,Fail,48.86
909,Student_909,3.3,65,48.1,F,Fail,48.46
916,Student_916,4.9,73,40.5,F,Fail,48.7
921,Student_921,8.8,74,40.9,F,Fail,56.940000000000005
932,Student_932,8.5,93,45.3,F,Fail,62.78
934,Student_934,5.7,82,44.7,F,Fail,54.62
937,Student_937,1.2,71,44.0,F,Fail,43.0
939,Student_939,2.1,86,46.7,F,Fail,49.42
942,Student_942,6.0,77,44.3,F,Fail,53.98
946,Student_946,1.1,59,44.6,F,Fail,40.760000000000005
950,Student_950,6.4,74,43.0,F,Fail,53.400000000000006
968,Student_968,3.7,87,47.4,F,Fail,53.24
974,Student_974,2.9,85,44.3,F,Fail,49.379999999999995
982,Student_982,7.9,82,48.6,F,Fail,61.36
989,Student_989,3.2,51,43.3,F,Fail,42.58
992,Student_992,7.3,76,40.0,F,Fail,53.800000000000004
994,Student_994,6.3,70,42.8,F,Fail,52.279999999999994
997,Student_997,9.3,57,43.8,F,Fail,56.28
999,Student_999,9.6,52,40.2,F,Fail,53.72
